               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088171,             0.02871,            0.019452,             0.31055,             0.35046,             0.24462,            0.068062,            0.059453,            0.019117,           0.0051054,            0.070018,           0.0033313,           0.0033313
                   1,            0.068182,            0.027365,           0.0067023,             0.49679,             0.41042,             0.41235,             0.13163,            0.051972,            0.018503,            0.004252,            0.039886,           0.0065327,           0.0065327
                   2,            0.065078,            0.027204,           0.0061419,             0.48578,             0.44236,             0.41565,             0.14551,            0.050467,            0.018395,           0.0042937,           0.0096222,           0.0096021,           0.0096021
                   3,            0.063458,            0.027551,           0.0059597,             0.50236,             0.45138,             0.43116,             0.14318,            0.051568,            0.018008,           0.0038642,            0.009406,            0.009406,            0.009406
                   4,            0.061959,            0.027238,           0.0055342,             0.54386,             0.43613,             0.44777,             0.15127,            0.050546,            0.018359,           0.0044476,            0.009406,            0.009406,            0.009406
                   5,            0.060906,            0.027171,           0.0050073,             0.51943,             0.44345,             0.43729,             0.15258,            0.050886,            0.018195,           0.0046852,            0.009208,            0.009208,            0.009208
                   6,             0.06055,             0.02678,           0.0048225,             0.53902,             0.43405,             0.44379,             0.14543,            0.050966,            0.018153,           0.0039063,             0.00901,             0.00901,             0.00901
                   7,            0.059445,            0.026953,           0.0044706,             0.53933,             0.41544,             0.42537,             0.14888,            0.051122,            0.018178,           0.0055527,            0.008812,            0.008812,            0.008812
                   8,            0.059137,            0.026752,           0.0045126,             0.55608,             0.47564,             0.48648,             0.17023,            0.049098,             0.01769,           0.0056326,            0.008614,            0.008614,            0.008614
                   9,            0.058527,            0.027065,           0.0044559,             0.52986,             0.45719,             0.45998,             0.15991,            0.050302,            0.018102,           0.0037032,            0.008416,            0.008416,            0.008416
