               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13308,           0.0067605,            0.025867,            0.016035,            0.055088,           0.0054277,           0.0014132,             0.10777,           0.0032588,            0.019588,            0.070009,           0.0033323,           0.0033323
                   1,             0.12131,           0.0078119,            0.021208,             0.20297,             0.23734,             0.12258,            0.031498,            0.094528,           0.0040344,            0.016469,            0.039745,           0.0064017,           0.0064017
                   2,             0.11504,           0.0081378,            0.018825,             0.27646,             0.25153,             0.16581,            0.043116,            0.091388,           0.0039326,            0.015333,           0.0092171,           0.0092071,           0.0092071
                   3,             0.11304,           0.0082539,            0.018098,             0.28656,             0.28019,             0.18638,            0.055758,            0.089469,           0.0039485,             0.01393,            0.008812,            0.008812,            0.008812
                   4,              0.1124,           0.0084375,            0.017909,             0.33444,             0.29502,             0.20895,            0.060642,            0.089136,            0.003914,            0.014013,            0.008812,            0.008812,            0.008812
                   5,             0.11104,           0.0082971,            0.017666,             0.30318,              0.2913,             0.19634,            0.054471,            0.089093,           0.0039865,            0.013481,            0.008416,            0.008416,            0.008416
                   6,             0.11081,           0.0084859,            0.017413,              0.3218,             0.28893,             0.19402,            0.052526,            0.088468,           0.0039433,            0.013684,             0.00802,             0.00802,             0.00802
                   7,                0.11,           0.0085172,            0.017216,             0.33671,             0.29547,             0.21786,            0.060314,            0.088103,           0.0039269,            0.014819,            0.007624,            0.007624,            0.007624
                   8,             0.10994,           0.0085237,             0.01719,              0.3196,             0.30438,             0.20128,            0.058283,            0.087734,           0.0040964,            0.014396,            0.007228,            0.007228,            0.007228
                   9,             0.10863,           0.0085776,            0.016697,              0.3443,             0.30228,             0.20998,            0.060927,            0.086771,           0.0040453,            0.013462,            0.006832,            0.006832,            0.006832
                  10,             0.10868,           0.0086089,            0.016536,             0.35936,             0.31226,             0.20785,            0.057601,            0.087478,            0.004024,            0.013913,            0.006436,            0.006436,            0.006436
                  11,             0.10802,           0.0086051,            0.016419,             0.36135,             0.31461,             0.23596,            0.068083,            0.086298,            0.004061,            0.013296,             0.00604,             0.00604,             0.00604
                  12,             0.10774,           0.0086141,            0.016442,             0.36934,             0.31324,             0.23454,            0.069511,            0.086455,             0.00401,            0.012675,            0.005644,            0.005644,            0.005644
                  13,              0.1081,           0.0087004,            0.016496,             0.35452,             0.32521,             0.23476,            0.063234,            0.086473,           0.0040275,            0.012759,            0.005248,            0.005248,            0.005248
                  14,             0.10721,           0.0086599,            0.016299,             0.35786,             0.33366,              0.2364,            0.065859,             0.08584,           0.0041369,            0.014209,            0.004852,            0.004852,            0.004852
                  15,             0.10679,           0.0086686,            0.016081,             0.38528,             0.32964,             0.25123,            0.073665,            0.085122,           0.0040423,            0.012314,            0.004456,            0.004456,            0.004456
                  16,             0.10633,           0.0086233,            0.015882,             0.44246,             0.32103,             0.28103,            0.084378,            0.084865,           0.0040482,            0.012348,             0.00406,             0.00406,             0.00406
                  17,             0.10661,           0.0087279,             0.01593,             0.43158,             0.33757,             0.27818,             0.07971,            0.085457,            0.004055,            0.012724,            0.003664,            0.003664,            0.003664
                  18,             0.10578,           0.0087973,            0.015603,             0.37564,             0.32221,              0.2373,             0.06704,              0.0856,           0.0040667,            0.012486,            0.003268,            0.003268,            0.003268
                  19,               0.105,           0.0086428,            0.015715,              0.3994,             0.33204,             0.26331,            0.078684,             0.08528,           0.0040553,            0.012239,            0.002872,            0.002872,            0.002872
                  20,             0.10513,           0.0087028,            0.015717,             0.41311,             0.32958,             0.26548,            0.078308,            0.084468,           0.0041018,            0.012162,            0.002476,            0.002476,            0.002476
                  21,             0.10474,           0.0087691,            0.015632,             0.42225,             0.33938,              0.2951,            0.087599,            0.084316,           0.0040249,            0.012172,             0.00208,             0.00208,             0.00208
                  22,             0.10537,           0.0088782,             0.01553,             0.39731,             0.34042,             0.27075,            0.079324,            0.085334,           0.0040692,              0.0127,            0.001684,            0.001684,            0.001684
                  23,             0.10458,           0.0088486,            0.015449,              0.4686,             0.33589,             0.30161,            0.092412,            0.084471,           0.0040783,            0.012489,            0.001288,            0.001288,            0.001288
                  24,              0.1047,           0.0088591,            0.015423,              0.4295,             0.35172,              0.2929,             0.08951,            0.083991,           0.0040867,            0.012373,            0.000892,            0.000892,            0.000892
